method,family,n,p,seed,tol,d,m,cut,approx_ratio,params_opt,rank,refreshes,forward_F,jvp,vjp,wall_s
rsq,er,10,2,1,0.01,76,28,17.511074,0.833861,28,28,3,560,280,614,3.1296
rsq_adjoint_free,er,10,2,1,,76,28,15.791642,0.751983,8,8,3,288,144,0,0.707
full_maqaoa,er,10,2,2,,58,19,13.985576,0.99897,58,,0,100,0,100,0.3661
symmetry,er,10,2,2,,58,19,13.477394,0.962671,50,,0,100,0,100,0.3732
fixed_rank_oracle,er,10,2,2,,58,19,11.174008,0.798143,8,8,0,100,0,100,0.4116
rsq,er,10,2,2,0.1,58,19,13.480881,0.96292,19,19,3,380,190,488,2.4959
rsq,er,10,2,2,0.01,58,19,13.482077,0.963005,19,19,3,388,194,502,2.5394
rsq_adjoint_free,er,10,2,2,,58,19,12.032862,0.85949,8,8,3,288,144,0,0.6868
full_maqaoa,ring,8,1,0,,16,8,6.499976,0.812497,16,,0,100,0,100,0.1445
symmetry,ring,8,1,0,,16,8,5.999926,0.749991,2,,0,100,0,100,0.1521
fixed_rank_oracle,ring,8,1,0,,16,8,5.973395,0.746674,8,8,0,100,0,100,0.155
rsq,ring,8,1,0,0.1,16,8,6.491414,0.811427,8,8,3,152,76,320,0.6643
rsq,ring,8,1,0,0.01,16,8,6.481722,0.810215,8,8,3,160,80,334,0.6892
rsq_adjoint_free,ring,8,1,0,,16,8,6.488887,0.811111,8,8,3,272,136,0,0.261
full_maqaoa,ring,8,1,1,,16,8,6.499853,0.812482,16,,0,100,0,100,0.1421
symmetry,ring,8,1,1,,16,8,5.999976,0.749997,2,,0,100,0,100,0.1543
fixed_rank_oracle,ring,8,1,1,,16,8,5.954897,0.744362,8,8,0,100,0,100,0.1565
rsq,ring,8,1,1,0.1,16,8,6.492576,0.811572,8,8,3,160,80,334,0.6934
rsq,ring,8,1,1,0.01,16,8,6.492576,0.811572,8,8,3,160,80,334,0.6892
rsq_adjoint_free,ring,8,1,1,,16,8,6.494895,0.811862,8,8,3,272,136,0,0.2599
full_maqaoa,ring,8,1,2,,16,8,6.499859,0.812482,16,,0,100,0,100,0.1429
symmetry,ring,8,1,2,,16,8,5.999819,0.749977,2,,0,100,0,100,0.1495
